Ticker,Sector,Price,P/E,P/B,ROE,RSI,Change%,52w%%,Signal
ACES|Consumer Cyc|354.0|7.9x|0.95x|12.1%|53.3|0.0%|26.8%|HOLD
ADHI|Industrials|143.0|0.6x|0.42x|-86.1%|N/A|0.0%|6.9%|HOLD
ADRO|Energy|2530.0|8.3x|14882.35x|10.3%|51.0|2.43%|84.2%|HOLD
AKRA|Energy|1400.0|10.2x|2.14x|19.5%|48.1|0.0%|63.2%|HOLD
ASII|Industrials|4780.0|6.5x|0.83x|12.0%|42.4|-0.42%|13.8%|HOLD
ASRI|Real Estate|122.0|8.4x|0.21x|2.5%|56.5|1.67%|24.1%|HOLD
BBCA|Financial Se|6350.0|13.5x|2.88x|21.8%|52.5|-0.39%|38.9%|HOLD
BBNI|Financial Se|3630.0|6.5x|0.82x|12.4%|59.6|0.55%|36.8%|HOLD
BBRI|Financial Se|3120.0|8.0x|1.39x|18.1%|68.1|0.32%|33.5%|HOLD
BDMN|Financial Se|4150.0|8.9x|0.75x|8.7%|53.1|-0.24%|68.4%|HOLD
BMRI|Financial Se|4170.0|6.2x|1.37x|22.4%|50.9|0.97%|30.1%|HOLD
BNGA|Financial Se|1655.0|6.1x|0.72x|12.0%|50.0|0.61%|43.6%|HOLD
BRIS|Financial Se|1790.0|10.5x|1.63x|16.2%|41.3|0.85%|17.9%|HOLD
BSDE|Real Estate|595.0|6.7x|0.28x|4.2%|61.5|1.71%|11.0%|HOLD
CENT|Communicatio|82.0|0.0x|1.04x|-78.8%|50.0|-1.2%|16.3%|HOLD
CPIN|Consumer Def|3070.0|6.8x|1.44x|22.8%|44.4|0.0%|2.5%|HOLD
ERAA|Consumer Cyc|458.0|5.1x|0.76x|15.5%|80.8|0.44%|88.9%|HOLD
EXCL|Communicatio|2800.0|16.7x|1.75x|-20.1%|72.6|6.46%|21.9%|HOLD
FILM|Communicatio|900.0|0.0x|3.15x|-8.8%|38.9|-3.23%|0.1%|HOLD
GGRM|Consumer Def|20200.0|8.8x|0.61x|7.1%|67.0|0.87%|88.0%|HOLD
HMSP|Consumer Def|755.0|10.1x|3.37x|34.7%|64.3|3.42%|50.0%|HOLD
ICBP|Consumer Def|7600.0|12.0x|1.68x|12.6%|77.1|0.66%|40.6%|HOLD
INDF|Consumer Def|7425.0|6.8x|0.85x|12.1%|77.5|1.02%|71.6%|HOLD
INTP|Basic Materi|5325.0|7.5x|0.80x|10.7%|84.0|1.43%|40.2%|HOLD
ISAT|Communicatio|2540.0|10.9x|2.21x|20.2%|78.5|2.83%|93.0%|HOLD
ITMG|Energy|25000.0|7.4x|14509.58x|11.1%|60.3|2.35%|41.8%|HOLD
JPFA|Consumer Def|2320.0|5.3x|1.31x|27.8%|78.4|2.65%|55.5%|HOLD
JSMR|Industrials|2730.0|5.7x|0.53x|7.7%|55.9|-0.36%|12.1%|HOLD
KLBF|Healthcare|800.0|10.1x|1.49x|14.8%|77.4|0.0%|21.7%|HOLD
LPPF|Consumer Cyc|1585.0|4.6x|11.75x|229.2%|57.8|0.32%|27.0%|HOLD
MAPI|Consumer Cyc|1495.0|10.0x|1.78x|17.6%|53.6|-0.99%|52.7%|HOLD
MEDC|Energy|1315.0|12.1x|14775.28x|7.0%|51.7|2.33%|31.2%|HOLD
MNCN|Communicatio|200.0|2.2x|0.12x|5.5%|36.4|0.0%|3.3%|HOLD
MTEL|Communicatio|430.0|15.9x|1.04x|0%|34.4|0.0%|4.2%|HOLD
PGAS|Utilities|1495.0|8.4x|12777.78x|10.1%|37.0|1.36%|12.4%|HOLD
PTBA|Energy|2360.0|8.1x|1.15x|14.4%|50.0|0.85%|18.1%|HOLD
PTPP|Industrials|206.0|3.8x|0.38x|-81.6%|58.3|4.04%|13.9%|HOLD
PWON|Real Estate|254.0|5.5x|0.54x|10.0%|40.9|0.0%|8.8%|HOLD
SCMA|Communicatio|200.0|12.9x|2.01x|13.6%|50.0|0.5%|11.4%|HOLD
SIDO|Consumer Def|346.0|10.6x|3.40x|30.4%|26.9|-1.14%|0.8%|HOLD
SMGR|Basic Materi|1580.0|46.5x|0.24x|0.4%|64.7|4.64%|10.6%|HOLD
TBIG|Communicatio|1395.0|21.7x|2.44x|12.4%|46.3|1.45%|10.1%|HOLD
TLKM|Communicatio|2620.0|14.7x|1.93x|17.7%|52.2|1.16%|16.5%|HOLD
TOWR|Real Estate|390.0|5.7x|0.79x|16.1%|35.7|0.52%|20.5%|HOLD
UNTR|Basic Materi|23275.0|11.0x|0.87x|7.4%|21.1|0.87%|24.8%|HOLD
UNVR|Consumer Def|1775.0|18.1x|10.28x|133.4%|60.9|2.6%|21.4%|HOLD
WIKA|Industrials|204.0|-1.5x|-4.02x|-181.3%|50|0.0%|55.6%|HOLD
